NIMI;ALKUPERÄISNIMI;ENSI-ILTA;KUMULATIIVISET KATSOJAT;LEVITTÄJÄ;MAANIMI
RED 2;RED 2;30.8.2013;20 586;Nordisk Film Theatrical Distribution Oy;USA
Varjojen kaupungit: Luukaupunki;The Mortal Instruments: City of Bones;30.8.2013;21 261;FS Film Oy;USA
Behind The Candelabra (My Life With Liberace);Behind The Candelabra;23.8.2013;15 588;FS Film Oy;USA
Kirottu;The Conjuring;23.8.2013;35 506;FS Film Oy;USA
Pahaa verta;Pahaa verta;23.8.2013;301;Black Lion Independent;SUOMI
Paranoia;Paranoia;23.8.2013;2 237;Future Film;USA
White House Down;White House Down;23.8.2013;23 397;The Walt Disney Company Nordic;USA
Elysium;Elysium;16.8.2013;65 023;The Walt Disney Company Nordic;USA
Kekkonen tulee!;Kekkonen tulee!;16.8.2013;35 122;Nordisk Film Theatrical Distribution Oy;SUOMI
Kick Ass 2;Kick Ass 2;16.8.2013;18 172;Finnkino Oy;USA-ENGLANTI
Percy Jackson: Hirviöidenmeri;Percy Jackson: Sea of Monsters;16.8.2013;18 376;FS Film Oy;USA
The Way Way Back;The Way Way Back;16.8.2013;4 670;Scanbox Finland Oy;USA
Pain & Gain;Pain & Gain;9.8.2013;28 212;Finnkino Oy;USA
Renoir;Renoir;9.8.2013;11 359;Cinema Mondo Oy;RANSKA
Monsters University;Monsters University;2.8.2013;146 164;The Walt Disney Company Nordic;USA
Odd Thomas;Odd Thomas;2.8.2013;1 403;Future Film;USA
Pacific Rim;Pacific Rim;2.8.2013;35 263;FS Film Oy;USA
Rakkautta ennen keskiyötä;Before Midnight;2.8.2013;34 066;Cinema Mondo Oy;USA
3096 päivää;3096;2.8.2013;4 149;Future Film;SAKSA
Bekas;Bekas;26.7.2013;661;FS Film Oy;RUOTSI-SUOMI
Puhdistuksen yö;The Purge;26.7.2013;10 025;Finnkino Oy;USA
What Maisie Knew;What Maisie Knew;26.7.2013;4 608;Scanbox Finland Oy;USA
Wolverine;The Wolverine;26.7.2013;50 386;FS Film Oy;USA
Matkarakastajat;Los Amantes Pasajeros;19.7.2013;22 450;Future Film;ESPANJA
Suuri puhallus;Now You See Me;19.7.2013;108 784;Nordisk Film Theatrical Distribution Oy;USA-RANSKA
World War Z;World War Z;19.7.2013;74 340;Finnkino Oy;USA
The Internship;The Internship;12.7.2013;29 956;FS Film Oy;USA
Itse ilkimys 2;Despicable Me 2;5.7.2013;258 332;Finnkino Oy;USA
Jotain ilmassa;Aprés mai;5.7.2013;3 356;Cinema Mondo Oy;RANSKA
The Lone Ranger;The Lone Ranger;3.7.2013;111 806;The Walt Disney Company Nordic;USA
The Bling Ring;The Bling Ring;28.6.2013;32 266;FS Film Oy;USA
American Vagabond;American Vagabond;26.6.2013;2 052;SUOMEN Elokuvakontakti R;SUOMI
Man of Steel;Man of Steel;26.6.2013;67 223;FS Film Oy;USA
After Earth;After Earth;14.6.2013;40 591;The Walt Disney Company Nordic;USA
Mesenaatti;Mesenaatti;14.6.2013;4 854;Pirkanmaan Elokuvakeskus;SUOMI
Trance;Trance;14.6.2013;0;Kinosto Oy;ENGLANTI
Only God Forgives;Only God Forgives;7.6.2013;12 545;Scanbox Finland Oy;TANSKA
Yhdet häät ja kolme anoppia;The Big Wedding;7.6.2013;23 312;Nordisk Film Theatrical Distribution Oy;USA
Star Trek Into Darkness;Star Trek Into Darkness;5.6.2013;46 405;Finnkino Oy;USA
Kauhea kankkunen 3;The Hangover Part III;29.5.2013;121 888;FS Film Oy;USA
Pystyssä;Pystyssä;24.5.2013;1 035;Black Lion Independent;SUOMI
Salainen valtakunta;Epic;24.5.2013;54 991;FS Film Oy;USA
Fast & Furious 6;Fast & Furious 6;22.5.2013;130 183;Finnkino Oy;USA
Dark Skies;Dark Skies;17.5.2013;3 171;Scanbox Finland Oy;USA
Spring Breakers;Spring Breakers;17.5.2013;9 701;FS Film Oy;USA
The Great Gatsby;The Great Gatsby;17.5.2013;84 853;FS Film Oy;AUSTRALIA
Mitä ikinä haluat;Toutes nos envies;10.5.2013;2 750;Cinema Mondo Oy;RANSKA
Evil Dead;Evil Dead;3.5.2013;12 438;The Walt Disney Company Nordic;USA
To the Wonder;To the Wonder;3.5.2013;6 742;Nordisk Film Theatrical Distribution Oy;USA
Väärät paperit;The Identity Thief;3.5.2013;24 213;Finnkino Oy;USA
Broken City;Broken City;26.4.2013;6 055;Future Film;USA
Ei pelkkää hunajaa;More Than Honey;26.4.2013;4 622;Cinema Mondo Oy;SVEITSI-SAKSAN-ITÄVA
Iron Man 3;Iron Man 3;26.4.2013;141 365;The Walt Disney Company Nordic;USA
Lasse Kreikassa;Sune i Grekland - All Inclusive;26.4.2013;10 613;Bio Rex Cinemas;RUOTSI
The Company You Keep;The Company You Keep;26.4.2013;5 803;FS Film Oy;KANADA
Alaska Highway;Alaska Highway;19.4.2013;4 548;FS Film Oy;SUOMI
Kon-Tiki;Kon-Tiki;19.4.2013;11 204;Atlantic Film Oy;NORJA
Laulu Marionille;Song for Marion;19.4.2013;6 061;Scanbox Finland Oy;ENGLANTI
Olympos on valloitettu;Olympos on valloitettu;19.4.2013;14 462;Nordisk Film Theatrical Distribution Oy;USA
Scary Movie 5;Scary Movie 5;19.4.2013;37 961;Future Film;USA
Oblivion;Oblivion;12.4.2013;69 412;Finnkino Oy;USA
Syödä, nukkua, kuolla;Äta sova dö;12.4.2013;1 989;Kinoscreen Illusion;RUOTSI
Vuoden se kestää;I Give it a Year;12.4.2013;48 656;FS Film Oy;ENGLANTI
Yli vuorten;Dupa dealuri;12.4.2013;4 934;Cinema Mondo Oy;ROMANIA
Kvartetti;Quartet;5.4.2013;56 190;FS Film Oy;ENGLANTI
Laulu koti-ikävästä;Laulu koti-ikävästä;5.4.2013;9 525;Pirkanmaan Elokuvakeskus;SUOMI
Mama;Mama;5.4.2013;41 712;Finnkino Oy;KANADA
Warm Bodies;Warm Bodies;5.4.2013;28 951;Nordisk Film Theatrical Distribution Oy;USA
Croodit;The Croods;29.3.2013;107 984;FS Film Oy;USA
G.I. Joe: Kosto;G.I. Joe: Retaliation;29.3.2013;27 925;Finnkino Oy;USA
The Place Beyond the Pines;The Place Beyond the Pines;29.3.2013;17 419;Scanbox Finland Oy;USA
Vieras;The Host;29.3.2013;20 872;Future Film;USA
Jack the Giant Slayer;Jack the Giant Slayer;22.3.2013;8 641;FS Film Oy;USA
Jahti;Jagten;22.3.2013;20 709;Atlantic Film Oy;TANSKA
Soundbreaker;Soundbreaker;22.3.2013;393;Pirkanmaan Elokuvakeskus;SUOMI
Hilton!;Hilton!;15.3.2013;5 981;Nordisk Film Theatrical Distribution Oy;SUOMI
In The Darkroom: Pimennossa;In The Darkroom;15.3.2013;341;Pirkanmaan Elokuvakeskus;SAKSAN LTV-SUOMI
Mahtava Oz;OZ - Great and Powerful;15.3.2013;55 103;The Walt Disney Company Nordic;USA
Vieras talossa;Dans la maison;15.3.2013;4 352;Cinema Mondo Oy;RANSKA
Kerron sinulle kaiken;Kerron sinulle kaiken;8.3.2013;9 788;Future Film;SUOMI
Pitch Perfect;Pitch Perfect;8.3.2013;20 887;Finnkino Oy;USA
Sammyn suuri seikkailu 2;Sammy's avonturen 2;8.3.2013;14 389;FS Film Oy;BELGIA
Särkynyt;Broken;8.3.2013;3 088;Atlantic Film Oy;ENGLANTI
The Last Stand;The Last Stand;8.3.2013;11 268;Nordisk Film Theatrical Distribution Oy;USA
Gangsterisota;Gangster squad;1.3.2013;21 586;FS Film Oy;USA
Lumoava kirous;Beautiful Creatures;1.3.2013;18 539;Nordisk Film Theatrical Distribution Oy;USA
Pilvikartasto;Cloud Atlas;1.3.2013;31 538;Future Film;USA
Viru - tarinoita hotellista;Viru - tarinoita hotellista;1.3.2013;1 647;Pirkanmaan Elokuvakeskus;SUOMI-VIRO
The Monuments men;The Monuments men;28.2.2013;31 619;FS Film Oy;USA
Les Misérables;Les Misérables;22.2.2013;76 863;Finnkino Oy;USA-ENGLANTI
Parker;Parker;22.2.2013;10 302;Scanbox Finland Oy;USA
Searching for Sugar Man;Searching for Sugar Man;22.2.2013;9 755;Cinema Mondo Oy;RUOTSI-ENGLANTI
8-pallo;8-pallo;22.2.2013;61 936;Nordisk Film Theatrical Distribution Oy;SUOMI
A Good day to die hard;A Good day to die hard;15.2.2013;109 074;FS Film Oy;USA
Rakkaus;Amour;15.2.2013;34 714;Future Film;RANSKA
Räyhä-Ralf;Wreck-it Ralph;15.2.2013;107 425;The Walt Disney Company Nordic;USA
Hannu ja Kerttu: Noitajahti;Hansel & Gretel: Witch Hunters;8.2.2013;36 337;FS Film Oy;SAKSAN -USA
Lento;Flight;8.2.2013;13 234;Finnkino Oy;USA
Mestari;The Master;8.2.2013;8 198;Future Film;USA
Seitsemän Psykopaattia;Seven Psychopaths;8.2.2013;1 280;Nordisk Film Theatrical Distribution Oy;ENGLANTI
21 tapaa pilata avioliitto;21 tapaa pilata avioliitto;8.2.2013;403 196;Nordisk Film Theatrical Distribution Oy;SUOMI
Hitchcock;Hitchcock;1.2.2013;7 466;FS Film Oy;USA-ENGLANTI
Kaikella Rakkaudella;Kaikella Rakkaudella;1.2.2013;16 571;The Walt Disney Company Nordic;SUOMI
Rölli ja kultainen avain;Rölli ja kultainen avain;1.2.2013;204 870;Nordisk Film Theatrical Distribution Oy;SUOMI
Tavarataivas;Tavarataivas;1.2.2013;5 478;SUOMEN Elokuvakontakti R;SUOMI
Unelmien pelikirja;Silver Linings Playbook;1.2.2013;48 690;Future Film;USA
Lincoln;Lincoln;25.1.2013;19 502;FS Film Oy;USA
Vuonna -85;Vuonna -85;25.1.2013;165 856;The Walt Disney Company Nordic;SUOMI
Zero Dark Thirty;Zero Dark Thirty;25.1.2013;11 022;Finnkino Oy;USA
Django Unchained;Django Unchained;18.1.2013;139 001;The Walt Disney Company Nordic;USA
Häätanssi;Häätanssi;18.1.2013;893;Pirkanmaan Elokuvakeskus;SUOMI
Kaappari;Kaappari;18.1.2013;44 846;Nordisk Film Theatrical Distribution Oy;SUOMI
The Paperboy;The Paperboy;18.1.2013;2 848;Future Film;USA
Anna Karenina;Anna Karenina;11.1.2013;81 803;Finnkino Oy;ENGLANTI
Beasts of the Southern Wild;Beasts of the Southern Wild;11.1.2013;15 727;Cinema Mondo Oy;USA
Frankenweenie;Frankenweenie;11.1.2013;6 412;The Walt Disney Company Nordic;USA
Jack Reacher - Tappajan jäljillä;Jack Reacher;4.1.2013;51 132;Finnkino Oy;USA
Miesten välisiä keskusteluja;Miesten välisiä keskusteluja;4.1.2013;455;Pirkanmaan Elokuvakeskus;SUOMI
Selviytyminen;The Impossible;4.1.2013;21 975;Nordisk Film Theatrical Distribution Oy;ESPANJA
Texas Chainsaw 3D;Texas Chainsaw 3D;4.1.2013;9 583;Scanbox Finland Oy;USA
The Sessions;The Sessions;4.1.2013;7 485;FS Film Oy;USA
Ella ja kaverit;Ella ja kaverit;28.12.2012;130 811;Snapper Films Distribution;SUOMI
Haute cuisine - mestari keittiössä;Haute cuisine;28.12.2012;9 280;Cinema Mondo Oy;RANSKA
Juoppohullun päiväkirja;Juoppohullun päiväkirja;28.12.2012;126 362;Scanbox Finland Oy;SUOMI
Metsän tarina;Metsän tarina;28.12.2012;88 812;Nordisk Film Theatrical Distribution Oy;SUOMI
Piin elämä;Life of Pi;21.12.2012;126 515;FS Film Oy;USA
Rakkauden pelikenttä;Playing for keeps;21.12.2012;7 306;Future Film;USA
Rakkauden rasvaprosentti;Rakkauden rasvaprosentti;21.12.2012;42 120;Nordisk Film Theatrical Distribution Oy;SUOMI
Shadow Dancer;Shadow Dancer;21.12.2012;4 313;Cinema Mondo Oy;ENGLANTI-IRLANTI
Zambezia;Zambezia;14.12.2012;3 439;Scanbox Finland Oy;ETELÄ-AFRIKKA
Hobitti - Odottamaton matka;The Hobbit: An unexpected journey;12.12.2012;445 442;FS Film Oy;USA
Enkelten siivu;The Angels' Share;7.12.2012;3 563;Cinema Mondo Oy;ENGLANTI
Love Is All You Need;Den Skaldede frisør;7.12.2012;13 231;Atlantic Film Oy;TANSKA
Nightmare - Painajainen merellä;Nightmare - Painajainen merellä;5.12.2012;125 113;FS Film Oy;SUOMI
Robin;Robin;5.12.2012;23 731;Nordisk Film Theatrical Distribution Oy;SUOMI
Killing Them Softly;Killing Them Softly;30.11.2012;12 887;Future Film;USA
Koskemattomat;The Intouchables;30.11.2012;71 510;Scanbox Finland Oy;RANSKA
Un amor;Un amor;30.11.2012;1 557;Cinema Mondo Oy;ARGENTIINA
Viisi legendaa;Rise of the Guardians;30.11.2012;76 512;Finnkino Oy;USA
Call Girl;Call Girl;23.11.2012;3 987;Nordisk Film Theatrical Distribution Oy;RUOTSI-SUOMI-NORJA
Faust;Faust;23.11.2012;272;Atlantic Film Oy;VENÄJÄ
Hotel Transylvania;Hotel Transylvania;23.11.2012;34 380;The Walt Disney Company Nordic;USA
Imaginaerum;Imaginaerum;23.11.2012;17 946;Nordisk Film Theatrical Distribution Oy;KANADA-SUOMI
Takaisin pelissä;Trouble with the curve;23.11.2012;2 832;FS Film Oy;USA
Jäälohikäärme;Isdraken;16.11.2012;919;Kinoscreen Illusion;RUOTSI
Kummisetäni thaimorsian;Kummisetäni thaimorsian;16.11.2012;1 706;Pirkanmaan Elokuvakeskus;SUOMI
Luihin ja ytimiin;De rouille et d'os;16.11.2012;14 320;Cinema Mondo Oy;RANSKA-BELGIA
Twilight - Aamunkoi osa 2;Twilight: Breaking Dawn part 2;16.11.2012;211 843;Nordisk Film Theatrical Distribution Oy;USA
Asterix & Obelix Britanniassa;Asterix et Obelix au service de sa Majesté;9.11.2012;14 566;Future Film;RANSKA
Keinottelua;Arbitrage;9.11.2012;13 503;FS Film Oy;USA
Palme;Palme;9.11.2012;4 724;Scanbox Finland Oy;RUOTSI-TANSKA
Poliisit;End of Watch;9.11.2012;2 958;Nordisk Film Theatrical Distribution Oy;USA
2 päivää New Yorkissa;2 Days in New York;9.11.2012;8 157;Cinema Mondo Oy;RANSKA-SAKSA
Argo;Argo;2.11.2012;26 715;FS Film Oy;USA
Dredd;Dredd;2.11.2012;3 013;FS Film Oy;ENGLANTI-USA
Le Chef - Rakkaudesta ruokaan;Comme un Chef;2.11.2012;4 407;Atlantic Film Oy;RANSKA-ESPANJA
Looper;Looper;2.11.2012;40 128;Future Film;USA
Sota on julistettu;La guerre est déclarée;2.11.2012;1 057;Cinema Mondo Oy;RANSKA
Helinä-keiju ja siipien salaisuus;Tinkerbell Secret of the Wings;26.10.2012;61 979;The Walt Disney Company Nordic;USA
Sinister;Sinister;26.10.2012;17 663;Scanbox Finland Oy;USA
Skyfall;Skyfall;26.10.2012;647 440;FS Film Oy;ENGLANTI-USA
Albert Nobbs;Albert Nobbs;19.10.2012;1 842;Snapper Films Distribution;ENGLANTI-IRLANTI
Kaksi tarinaa rakkaudesta;Must Have Been Love;19.10.2012;5 378;Nordisk Film Theatrical Distribution Oy;NORJA-SUOMI
Paranormal Activity 4;Paranormal Activity 4;19.10.2012;34 843;Finnkino Oy;USA
Veden peili;Veden peili;19.10.2012;1 648;Pirkanmaan Elokuvakeskus;SUOMI
Hypnotisoija;Hypnotisören;12.10.2012;23 565;FS Film Oy;RUOTSI
Niko 2 - lentäjäveljekset;Niko 2 - lentäjäveljekset;12.10.2012;155 045;Nordisk Film Theatrical Distribution Oy;SUOMI
Raakalaiset;Savages;12.10.2012;16 427;Finnkino Oy;USA
Step Up: Revolution;Step Up: Revolution;12.10.2012;58 255;Nordisk Film Theatrical Distribution Oy;USA
Take This Waltz;Take This Waltz;12.10.2012;8 422;Cinema Mondo Oy;KANADA
Lemmenlomalla;Hope Springs;5.10.2012;32 930;Future Film;USA
Sinivalkoinen valhe;Sinivalkoinen valhe;5.10.2012;6 430;Future Film;SUOMI
Taken 2;Taken 2;5.10.2012;24 441;Scanbox Finland Oy;RANSKA
Vares - Pimeyden tango;Vares - Pimeyden tango;5.10.2012;69 098;Nordisk Film Theatrical Distribution Oy;SUOMI
Killer Joe;Killer Joe;28.9.2012;3 658;Future Film;USA
Kukkulan tyttö, sataman poika;Kokuriko-zaka kara;28.9.2012;7 737;Cinema Mondo Oy;JAPANI
Kuningas Litmanen;Kuningas Litmanen;28.9.2012;29 293;FS Film Oy;SUOMI
Bourne Legacy;Bourne Legacy;21.9.2012;46 534;Finnkino Oy;USA
Polttarittaret;Bachelorette;21.9.2012;10 827;Scanbox Finland Oy;USA
Moonrise Kingdom;Moonrise Kingdom;14.9.2012;14 640;Atlantic Film Oy;USA
Rahalla saa 2;Snabba Cash 2;14.9.2012;4 104;Bio Rex Cinemas;RUOTSI
3 Simoa;3 Simoa;14.9.2012;9 653;Pirkanmaan Elokuvakeskus;SUOMI
Laittomat;Lawless;7.9.2012;8 100;FS Film Oy;USA
Magic Mike;Magic Mike;7.9.2012;56 246;Atlantic Film Oy;USA
ParaNorman;ParaNorman;7.9.2012;4 929;Finnkino Oy;USA
Puhdistus;Puhdistus;7.9.2012;210 013;Nordisk Film Theatrical Distribution Oy;SUOMI
Cosmopolis;Cosmopolis;31.8.2012;6 158;Cinema Mondo Oy;RANSKA
Käräjävuorentie;Käräjävuorentie;31.8.2012;2 770;Black Lion Independent;SUOMI
To Rome With Love;To Rome With Love;31.8.2012;37 990;Scanbox Finland Oy;USA
Total Recall;Total Recall;31.8.2012;26 549;The Walt Disney Company Nordic;USA
Café de Flore;Café de Flore;24.8.2012;4 937;Atlantic Film Oy;RANSKA-KANADA
Tie Pohjoiseen;Tie Pohjoiseen;24.8.2012;265 759;FS Film Oy;SUOMI
Urhea;Brave;24.8.2012;87 600;The Walt Disney Company Nordic;USA
Barbara;Barbara;17.8.2012;6 261;Future Film;SAKSA
The Expendables 2;The Expendables 2;17.8.2012;103 075;Future Film;USA
Katmandu - Taivaan peili;Katmandú, un espejo en el cielo;10.8.2012;10 921;Cinema Mondo Oy;ESPANJA
Ted;Ted;10.8.2012;122 452;Finnkino Oy;USA
Abraham Lincoln: Vampire hunter;Abraham Lincoln: Vampire hunter;3.8.2012;16 223;FS Film Oy;USA
Madagascar 3;Madagascar 3: Europe's Most Wanted;3.8.2012;307 033;Finnkino Oy;USA
Miss Farkku-Suomi;Miss Farkku-Suomi;3.8.2012;43 520;Nordisk Film Theatrical Distribution Oy;SUOMI
Matkalla;On The Road;27.7.2012;16 855;Future Film;RANSKA-USA
Terraferma;Terraferma;27.7.2012;3 930;Cinema Mondo Oy;ITALIA-RANSKA
Woody Allen: A Documentary;Woody Allen: A Documentary;27.7.2012;808;Scanbox Finland Oy;USA
Piranha 3DD;Piranha 3DD;20.7.2012;1 661;Future Film;USA
Yön Ritarin paluu;Dark Knight Rises;20.7.2012;288 996;FS Film Oy;USA
Get the gringo;Get the gringo;13.7.2012;7 039;FS Film Oy;USA
Ja saapuu oikea yö;Ja saapuu oikea yö;13.7.2012;8 313;Scanbox Finland Oy;SUOMI
Mitä odottaa, kun odotat;What to Expect When You´re Expecting;13.7.2012;25 717;Future Film;USA
Ranskalainen viikonloppu;Le Skylab;6.7.2012;13 491;Cinema Mondo Oy;RANSKA
The Amazing Spider-Man;The Amazing Spider-Man;6.7.2012;73 838;The Walt Disney Company Nordic;USA
Friends With Kids;Friends With Kids;29.6.2012;5 576;Future Film;USA
Ice Age 4: Mannerten mullistus;Ice Age 4: Continental Drift;29.6.2012;316 687;FS Film Oy;USA
Rock of ages;Rock of ages;29.6.2012;29 929;FS Film Oy;USA
En gång i Phuket;En gång i Phuket;26.6.2012;519;Nordisk Film Theatrical Distribution Oy;RUOTSI
Soul-siskot;Joyful Noise;22.6.2012;1 409;FS Film Oy;USA
LOL;LOL;15.6.2012;21 921;Scanbox Finland Oy;USA
Lumikki ja metsästäjä;Snow White and the Huntsman;1.6.2012;110 589;Finnkino Oy;USA
Prometheus;Prometheus;1.6.2012;103 229;FS Film Oy;USA
Men In Black 3;Men In Black 3;25.5.2012;82 428;The Walt Disney Company Nordic;USA
Rakkaudesta, unelmista ja kaloista;Salmon fishing in the Yemen;25.5.2012;17 598;FS Film Oy;ENGLANTI
The Deep Blue Sea;The Deep Blue Sea;18.5.2012;6 548;Atlantic Film Oy;ENGLANTI
Diktaattori;The Dictator;16.5.2012;190 162;Finnkino Oy;USA
Anonyymit romantikot;Les émotifs anonymes;11.5.2012;3 962;Cinema Mondo Oy;RANSKA-BELGIA
Dark Shadows;Dark Shadows;11.5.2012;81 273;FS Film Oy;USA
Russian Libertine - Venäjän vapain mies;Russian Libertine - Venäjän vapain mies;11.5.2012;1 416;Atlantic Film Oy;SUOMI
Kovasikajuttu;Kovasikajuttu;4.5.2012;20 055;The Walt Disney Company Nordic;SUOMI
Stone’s War;War of the Dead;4.5.2012;3 179;Scanbox Finland Oy;USA
The Raid: Redemption;The Raid: Redemption;4.5.2012;2 502;Future Film;INDONESIA-USA
Koti eläintarhassa;We Bought a Zoo;27.4.2012;20 010;FS Film Oy;USA
The Avengers;The Avengers;27.4.2012;120 312;The Walt Disney Company Nordic;USA
Kilimanjaron lumet;Les neiges du Kilimandjaro;20.4.2012;19 862;Cinema Mondo Oy;RANSKA
Poikani Kevin;We Need to Talk About Kevin;20.4.2012;18 446;FS Film Oy;USA
Project X;Project X;20.4.2012;28 944;FS Film Oy;USA
The Cabin in the Woods;The Cabin in the Woods;20.4.2012;18 449;Future Film;USA
A Dangerous Method;A Dangerous Method;13.4.2012;18 360;Scanbox Finland Oy;ENGLANTI-KANADA
Battleship;Battleship;13.4.2012;21 279;Finnkino Oy;USA
Haywire;Haywire;13.4.2012;3 453;Nordisk Film Theatrical Distribution Oy;USA
Äärimmäisen lujaa ja uskomattoman läheltä;Extremely Loud and Incredibly Close;13.4.2012;7 854;FS Film Oy;USA
American Pie: Luokkakokous;American Pie: Reunion;6.4.2012;123 955;Finnkino Oy;USA
Humiseva harju;Wuthering Heights;6.4.2012;9 487;Atlantic Film Oy;ENGLANTI
Iron Sky;Iron Sky;6.4.2012;181 359;The Walt Disney Company Nordic;SUOMI
Martha Marcy May Marlene;Martha Marcy May Marlene;6.4.2012;203;FS Film Oy;USA
Kerro kerro kuvastin;Mirror Mirror;30.3.2012;16 429;Nordisk Film Theatrical Distribution Oy;USA
Lorax;Dr. Seuss' The Lorax;30.3.2012;69 158;Finnkino Oy;USA
Nainen, jonka nimi on Nathalie;La délicatesse;30.3.2012;7 596;Future Film;RANSKA
Pirates !;Pirates ! Band of Misfits;30.3.2012;15 667;The Walt Disney Company Nordic;ENGLANTI-USA
Rouva Presidentti;Rouva Presidentti;30.3.2012;22 599;Scanbox Finland Oy;SUOMI
Titaanien raivo;Wrath of the Titans;30.3.2012;14 981;FS Film Oy;USA
Nälkäpeli;The Hunger Games;23.3.2012;196 506;Nordisk Film Theatrical Distribution Oy;USA
Saunavieras;Saunavieras;23.3.2012;132;Pirkanmaan Elokuvakeskus;SUOMI
Taistelu Näsilinnasta;Taistelu Näsilinnasta;23.3.2012;15 083;FS Film Oy;SUOMI
The Best Exotic Marigold Hotel;The Best Exotic Marigold Hotel;23.3.2012;30 758;FS Film Oy;USA
Happy End;Happy End;16.3.2012;1 440;Cinema Mondo Oy;RUOTSI-TANSKA
Salakuljettaja;Contraband;16.3.2012;6 456;Finnkino Oy;USA-ENGLANTI-RANSKA
Vares - Uhkapelimerkki;Vares - Uhkapelimerkki;16.3.2012;54 172;Nordisk Film Theatrical Distribution Oy;SUOMI
John Carter;John Carter;9.3.2012;32 593;The Walt Disney Company Nordic;USA
Keinoja kaihtamatta;This Means War;9.3.2012;31 647;FS Film Oy;USA
Kohta 18;Kohta 18;9.3.2012;37 271;Nordisk Film Theatrical Distribution Oy;SUOMI
Nobelin testamentti;Nobels Testamente;9.3.2012;3 329;Nordisk Film Theatrical Distribution Oy;RUOTSI
Paholainen sisälläni;The Devil Inside;9.3.2012;5 144;Finnkino Oy;USA
Chronicle;Chronicle;2.3.2012;10 921;FS Film Oy;USA
Kuudennen kerroksen naiset;Les Femmes du 6ème étage;2.3.2012;4 032;Atlantic Film Oy;RANSKA
The Artist;The Artist;2.3.2012;30 677;Scanbox Finland Oy;RANSKA-BELGIA
Tähtitaivas talon yllä;Tähtitaivas talon yllä;2.3.2012;18 159;Nordisk Film Theatrical Distribution Oy;SUOMI
Kulman pojat;Kulman pojat;24.2.2012;56 629;Nordisk Film Theatrical Distribution Oy;SUOMI
Nicostratos-pelikaani;Nicostratos le pélican;24.2.2012;1 745;Cinema Mondo Oy;RANSKA
Pappi lukkari talonpoika vakooja;Tinker Tailor Soldier Spy;24.2.2012;29 429;FS Film Oy;ENGLANTI
Sotahevonen;War Horse;24.2.2012;10 831;The Walt Disney Company Nordic;USA
The Grey - suden hetki;The Grey;22.2.2012;5 712;Future Film;USA
Hugo;Hugo;17.2.2012;30 136;Finnkino Oy;USA
Härmä;Härmä;17.2.2012;146 455;Finnkino Oy;SUOMI
Matka 2: Salainen saari;Journey 2: The Mysterious Island;17.2.2012;18 710;FS Film Oy;USA
Turvatalo;Safe House;17.2.2012;9 949;Finnkino Oy;USA
Carnage;Carnage;10.2.2012;10 964;Future Film;RANSKA-SAKSA
Hamilton : kansakunnan puolesta;Hamilton: I Nationens Intresse;10.2.2012;6 898;The Walt Disney Company Nordic;RUOTSI
Reunalla;Man on a Ledge;10.2.2012;4 547;Nordisk Film Theatrical Distribution Oy;USA
Risto Räppääjä ja Viileä Venla;Risto Räppääjä ja Viileä Venla;10.2.2012;309 939;Nordisk Film Theatrical Distribution Oy;SUOMI
Alistuminen;Underkastelsen;3.2.2012;6;Kinoscreen Illusion;RUOTSI
Mission: Impossible - Ghost Protocol;Mission: Impossible - Ghost Protocol;3.2.2012;175 976;Finnkino Oy;USA
The Descendants;The Descendants;3.2.2012;43 459;FS Film Oy;USA
Vuosaari;Vuosaari;3.2.2012;95 867;The Walt Disney Company Nordic;SUOMI
Hulluna Saraan;Hulluna Saraan;27.1.2012;31 263;Nordisk Film Theatrical Distribution Oy;SUOMI
Rautarouva;The Iron Lady;27.1.2012;97 578;Scanbox Finland Oy;ENGLANTI-RANSKA
Saapasjalkakissa;Puss in Boots;27.1.2012;166 190;Finnkino Oy;USA
Säilöttyjä unelmia;Säilöttyjä unelmia;27.1.2012;5 945;FS Film Oy;SUOMI
Rat King;Rat King;20.1.2012;6 878;Future Film;SUOMI
Vallan kääntöpuoli;The Ides of March;20.1.2012;7 931;FS Film Oy;USA
Viiden päivän sota;5 Days of War;20.1.2012;1 509;Atlantic Film Oy;USA
Kaivontekijän tytär;La Fille du puisatier;13.1.2012;640;Future Film;RANSKA
Punaisen metsän hotelli;Punaisen metsän hotelli;13.1.2012;1 385;Pirkanmaan Elokuvakeskus;SUOMI
Shame;Shame;13.1.2012;11 561;Cinema Mondo Oy;ENGLANTI
Tropa de Elite 2 - Eliittijoukot;Tropa de Elite 2 - O Inimigo Agora É Outro;13.1.2012;2 586;Atlantic Film Oy;BRASILIA
Delfiinitarina;Dolphin Tale;6.1.2012;3 321;FS Film Oy;USA
J. Edgar;J. Edgar;6.1.2012;19 504;FS Film Oy;USA
This Must Be The Place;This Must Be The Place;6.1.2012;1 683;Future Film;IRLANTI
Vares - Kaidan tien kulkijat;Vares - Kaidan tien kulkijat;6.1.2012;95 166;Nordisk Film Theatrical Distribution Oy;SUOMI
My Week with Marilyn;My Week with Marilyn;30.12.2011;24 944;Scanbox Finland Oy;ENGLANTI-USA
The Darkest Hour;The Darkest Hour;30.12.2011;3 469;FS Film Oy;USA
Varasto;Varasto;30.12.2011;199 533;Nordisk Film Theatrical Distribution Oy;SUOMI
50/50;50/50;30.12.2011;3 378;Future Film;USA
