Paikkakunta;Teatterinimi;Salit;Omistaja;Paikat;Osoite
Helsinki;KINOPALATSI;Kinopalatsi 10;Finnkino Oy;88;Kaisaniemenkatu 2, 00100 Helsinki
Helsinki;KINO SHERYL;Kino Sheryl;Kino Sheryl Oy;300;Arabiankatu 8, 00560 Helsinki
Helsinki;WHS Teatteri Union;Whs Teatteri Union;Association WHS ry;85;Siltavuorenranta 18, 00170 Helsinki
Huittinen;KINO;Kino 1;Kinoset Oy ;89;Sahakatu 2, 32700 Huittinen
Huittinen;KINO;Kino 2;Kinoset Oy ;52;Sahakatu 2, 32700 Huittinen
Hyvinkää;KINOMA;Kinoma;KMS-Movies Oy;237;Ahdekallionkatu 3, 05820 Hyvinkää
Hyvinkää;Julia;Julia 1;AM-kinot Oy;184;Hämeenkatu 34, 05800 Hyvinkää
Hyvinkää;Julia;Julia 2;AM-kinot Oy;70;Hämeenkatu 34, 05800 Hyvinkää
Hämeenlinna;MARILYN;Marilyn 1;Remamian Oy;140;Hallituskatu 20, 13100 Hämeenlinna
Hämeenlinna;MARILYN;Marilyn 2;Remamian Oy;120;Hallituskatu 20, 13100 Hämeenlinna
Hämeenlinna;MARILYN;Marilyn 3;Remamian Oy;50;Hallituskatu 20, 13100 Hämeenlinna
Hämeenlinna;MARILYN;Marilyn 4;Remamian Oy;59;Hallituskatu 20, 13100 Hämeenlinna
Hämeenlinna;BIO REX VERKATEHDAS;Bio Rex 1;Bio Rex Cinemas Oy;256; Paasikiventie 2, 13100 Hämeenlinna
Hämeenlinna;BIO REX VERKATEHDAS;Bio Rex 2;Bio Rex Cinemas Oy;157; Paasikiventie 2, 13100 Hämeenlinna
Hämeenlinna;BIO REX VERKATEHDAS;Bio Rex 3;Bio Rex Cinemas Oy;132; Paasikiventie 2, 13100 Hämeenlinna
Hämeenlinna;BIO REX VERKATEHDAS;Bio Rex 4;Bio Rex Cinemas Oy;98; Paasikiventie 2, 13100 Hämeenlinna
