Paikkakunta;Teatterinimi;Salit;Omistaja;Paikat;Osoite
Sysmä;SYSMÄN KINO;Sysmän Kino;Sysmän kunta;187;Väihkyläntie 1, 19700 Sysmä
Tampere;ARTHOUSE CINEMA NIAGARA;Arthouse Cinema Niagara;Pirkanmaan elokuvakeskus ry;128;Kehräsaari B, 33200 Tampere
Tampere;CINE ATLAS;Atlas 1;Finnkino Oy;186;Hatanpään Valtatie 1, 33100 Tampere
Tampere;CINE ATLAS;Atlas 2;Finnkino Oy;170;Hatanpään Valtatie 1, 33100 Tampere
Tampere;CINE ATLAS;Atlas 3;Finnkino Oy;144;Hatanpään Valtatie 1, 33100 Tampere
Tampere;CINE ATLAS;Atlas 4;Finnkino Oy;82;Hatanpään Valtatie 1, 33100 Tampere
Tampere;PLEVNA;Plevna 1;Finnkino Oy;491;Itäinenkatu 4, 33210 Tampere
Tampere;PLEVNA;Plevna 2;Finnkino Oy;296;Itäinenkatu 4, 33210 Tampere
Tampere;PLEVNA;Plevna 3;Finnkino Oy;73;Itäinenkatu 4, 33210 Tampere
Tampere;PLEVNA;Plevna 4;Finnkino Oy;127;Itäinenkatu 4, 33210 Tampere
Tampere;PLEVNA;Plevna 5;Finnkino Oy;126;Itäinenkatu 4, 33210 Tampere
Tampere;PLEVNA;Plevna 6;Finnkino Oy;115;Itäinenkatu 4, 33210 Tampere
Tampere;PLEVNA;Plevna 7;Finnkino Oy;84;Itäinenkatu 4, 33210 Tampere
Tampere;PLEVNA;Plevna 8;Finnkino Oy;105;Itäinenkatu 4, 33210 Tampere
Tampere;PLEVNA;Plevna 9;Finnkino Oy;105;Itäinenkatu 4, 33210 Tampere
Tampere;PLEVNA;Plevna 10;Finnkino Oy;108;Itäinenkatu 4, 33210 Tampere
Tervakoski;TERVAKOSKEN ELOKUVAT;Tervakosken Elokuvat;Tervakosken Elokuvat;256;Seuranaukio, 12400 Tervakoski
Teuva;KINO-KUVA;Kino-Kuva;Teuvan Nuorisoseura ry;98;Porvarintie 28, 64700 Teuva
Turku;KINOPALATSI;Kinopalatsi 1;Finnkino Oy;485;Kauppiaskatu 13, 20100 Turku
Turku;KINOPALATSI;Kinopalatsi 2;Finnkino Oy;217;Kauppiaskatu 13, 20100 Turku
Turku;KINOPALATSI;Kinopalatsi 3;Finnkino Oy;91;Kauppiaskatu 13, 20100 Turku
Turku;KINOPALATSI;Kinopalatsi 4;Finnkino Oy;91;Kauppiaskatu 13, 20100 Turku
Turku;KINOPALATSI;Kinopalatsi 5;Finnkino Oy;174;Kauppiaskatu 13, 20100 Turku
Turku;KINOPALATSI;Kinopalatsi 6;Finnkino Oy;182;Kauppiaskatu 13, 20100 Turku
Turku;KINOPALATSI;Kinopalatsi 7;Finnkino Oy;94;Kauppiaskatu 13, 20100 Turku
Turku;KINOPALATSI;Kinopalatsi 8;Finnkino Oy;89;Kauppiaskatu 13, 20100 Turku
Turku;KINOPALATSI;Kinopalatsi 9;Finnkino Oy;90;Kauppiaskatu 13, 20100 Turku
Uusikaupunki;KUVALA;Kuvala;Kuva-Tähti Oy;71;Alinenkatu 16, 23500 Uusikaupunki
Vaasa;ELOKUVATEATTERI GLORIA;Gloria 1;Bio Rex Cinemas Oy;276;Hovioikeudenpuistikko 16, 65100 Vaasa
Vaasa;ELOKUVATEATTERI GLORIA;Gloria 2;Bio Rex Cinemas Oy;107;Hovioikeudenpuistikko 16, 65100 Vaasa
Vaasa;ELOKUVATEATTERI GLORIA;Gloria 3;Bio Rex Cinemas Oy;65;Hovioikeudenpuistikko 16, 65100 Vaasa
Vaasa;ELOKUVATEATTERI GLORIA;Gloria 4;Bio Rex Cinemas Oy;212;Hovioikeudenpuistikko 16, 65100 Vaasa
Vaasa;ELOKUVATEATTERI GLORIA;Gloria 5;Bio Rex Cinemas Oy;72;Hovioikeudenpuistikko 16, 65100 Vaasa
Vaasa;KINO RITZ;Kino Ritz;Skafferiet ry;218;Kirkkopuistikko 22 A, 65100 Vaasa
Valkeakoski;KINO-SAMPO;Kino-Sampo;TMB Cinema Oy;125;Valtakatu 19, 37600 Valkeakoski
Vantaa;BIO GRAND;Bio Grand;Kuva-Grand, tmi;184;Kielotie 7, 01300 Vantaa
Vantaa;FLAMINGO;Flamingo 1;Finnkino Oy;347;Tasetie 8, 01510 Vantaa
Vantaa;FLAMINGO;Flamingo 2;Finnkino Oy;200;Tasetie 8, 01510 Vantaa
Vantaa;FLAMINGO;Flamingo 3;Finnkino Oy;101;Tasetie 8, 01510 Vantaa
Vantaa;FLAMINGO;Flamingo 4;Finnkino Oy;101;Tasetie 8, 01510 Vantaa
Vantaa;FLAMINGO;Flamingo 5;Finnkino Oy;101;Tasetie 8, 01510 Vantaa
Vantaa;FLAMINGO;Flamingo 6;Finnkino Oy;101;Tasetie 8, 01510 Vantaa
Vantaa;KINO MYYRI;Kino Myyri;Bio Jaseka;188;Kilterinraitti 6, 01600 Vantaa
Varkaus;MAXIM;Maxim 1;Savon Kinot Oy;190;Kauppakatu 27, 78200 Varkaus
Varkaus;MAXIM;Maxim 2;Savon Kinot Oy;78;Kauppakatu 27, 78200 Varkaus
Varkaus;MAXIM;Maxim 3;Savon Kinot Oy;67;Kauppakatu 27, 78200 Varkaus
Vehmaa;KUVA-TÄHTI;Kuva-Tähti;Kuva-Tähti Oy;71;Ilmaristentie 10, 23200 Vehmaa
Vihti;VIHDIN KINO;Vihdin Kino;Kino Anneli Stick Ky;182;Riihitie 2, 03400 Vihti
Viitasaari;KINOSAARI;Kinosaari;Funkinos Oy;153;Koulukuja 8, 44500 Viitasaari
Vimpeli;NUORISO-KUVAT;Nuoriso-Kuvat;Vimpelin Veto ry;176;Patruunantie 12, 62800 Vimpeli
Virrat;VIRTAIN PIRTTI;Virtain Pirtti;Virtain Urheilijat ry;164;Virtaintie 15, 34800 Virrat
Ylitornio;AUDITORIO;Auditorio;Ylitornion kunta;198;Alkkulanraitti 56, 95600 Ylitornio
Ähtäri;SUN KINO;Sun Kino;Ähtärin kaupunki;130;Lukiontie 3, 63700 Ähtäri
Äänekoski;KINOMIKKO;Kinomikko;Funkinos Oy;94;Kalevankatu 2, 44100 Äänekoski
