Tukityyppi nimi;Elokuvan lajityyppi;Tukihak päätöspvm;Esittelijä nimi;Tuenhakijan nimi;Tukihakemuksen kohde;Tukihakakemuksen päätöseur
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Lieksan Elokuvat;Lieksa, Elokuvat;3 500
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Logimar Oy;Loviisa, Marilyn;5 000
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;MTK-Paimio ry / Vistan Kino;Paimio, Kino;5 000
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Mäntyharjun kunta/ Kino;Mäntyharju, Kino;3 000
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Navettakino Ky;Konnevesi, Navettakino;2 500
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Oulun Elokuvakeskus ry.;Oulu, Studio;4 500
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;PALJAKAN RÖLLIMAA OY;Puolanka, Paljakka Kino;3 500
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Pirkanmaan elokuvakeskus ry;Tampere, Niagara;4 000
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Reijonen Toivo;Espoo, Kino Tuomarila;3 000
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Reijonen Toivo;Kirkkonummi, Kino;4 000
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Saarenharju Esko;Juva, JuKu elokuvat;1 500
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Saarijärven Pullistus ry;Saarijärvi, Kisakino;2 500
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Savon Kinot Oy;Joensuu, Tapio 1-4;4 500
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Savon Kinot Oy;Savonlinna, Killa;5 000
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Tervakosken Elokuvat;Janakkala, Tervakosken elokuvat;5 000
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Tmi Bio-Kuva;Salo, Bio Salo 1-2;5 000
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Utsjoen kunnankino;Utsjoki, Kunnankino;2 500
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Varpainen Reijo;Eura, Kauttuan Kuva;5 000
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Varpainen Reijo;Pomarkku, Hakalinna;4 000
Elokuvateatterin toimintatuki;;11.3.2009;Harri Ahokas;Vimpelin Veto ry;Vimpeli, Nuorisokuvat;3 500
Elokuvateatterin toimintatuki;;24.2.2009;Harri Ahokas;Halsuan nuorisoseura ry;Halsua, Elokuvat;669
Elokuvateatterin toimintatuki;;19.2.2009;Harri Ahokas;Kinotour Oy;Vehmaa, Kiertue Kinotour;4 000
Elokuvateatterin toimintatuki;;30.1.2009;Harri Ahokas;Kino-Huovi Matti Hautala;Harjavalta, Kino Huovi;3 965
Elokuvateatterin toimintatuki;;27.3.2008;Harri Ahokas;Virtain Urheilijat ry;Virrat, Pirtti;3 000
Elokuvateatterin toimintatuki;;25.3.2008;Harri Ahokas;Sieranta Kaija;Toijala, Kino;4 600
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Aaltonen Vesa Tmi/Loimaa,Somero;Loimaa, Kinema;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Aaltonen Vesa Tmi/Loimaa,Somero;Somero, Bio Jukola;1 500
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Alareksi ky;Alajärvi, Alareksi;3 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;AV-Kärki;Nurmes, Kino Hannikainen;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Cult Cinema Ay;Tornio, Cult Cinema;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Digital Cinema Matila & Röhr;Kajaani, Bio Rex;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Elokuvateatteri Matin-Tupa;Ylistaro, Matin Tupa;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Filmihankkija;Kuhmo, Pajakkakino;1 500
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Haapamäen Pallo-Pojat ry;Keuruu, Haapamäen elokuvat;3 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Halonen Esa;Tammisaari, Bio Forum;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Haminan kaupunki/kulttuuripalvelut;Hamina, Kino;3 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Helli Peltonen Ky;Jämsä, Kinotar;2 500
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Helli Peltonen Ky;Kitee, Kino Hovi;3 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Helli Peltonen Ky;Suonenjoki, Kino Rio;2 200
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Helsingin kulttuurikeskus / Kino Helios;Helsinki, Kino Helios;3 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Inarin kunnan kulttuuritoimi;Inari, Aslak;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Joutsan kunta;Joutsa, Kino;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Järvelän Kino Oy;Kärkölä, Järvelän Kino;2 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Kaksois-Elokuvat Ky;Oulu, Star 1-3;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Kangasniemen kunta/Elokuvateatteri Kangastus;Kangasniemi, Kangastus;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Keski-Suomen elokuvakeskus ry;Jyväskylä, Kino Metso, kiertue;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Keuruun Sosiaalidemokraatit ry;Keuruu, Keurus Kino;2 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Kiertävä elokuvakerho Filmipyörä ry;Kangasala, Elokuvakiertue;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Kino Juha;Nurmijärvi, Kino Juha;3 500
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Kino Lusto;Punkaharju, Kino Lusto;2 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Kino Olympia / KA-Movie;Hanko, Olympia;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Kinotour Oy;Vehmaa, kiertue-esitykset;3 500
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Korppoon kunta;Korppoo, Bio Sydväst;3 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Kulman kino;Oulainen, Kulman Kino;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Kuva-Tähti oy;Uusikaupunki, Kuvala;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Kuva-Tähti oy;Vehmaa, Kuva-Tähti;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Lieksan Elokuvat;Lieksa, Elokuvat;2 500
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Mattila Arto;Karkkila, Kino Karkki;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;MTK-Paimio ry / Vistan Kino;Paimio, Kino;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Mäntyharjun kunta/ Kino;Mäntyharju, Kino;2 500
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Navettakino Ky;Särkilahti/Konnevesi,Navettakino;2 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Oulun Elokuvakeskus ry.;Oulu, Studio;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;PALJAKAN RÖLLIMAA OY;Puolanka, Paljakka Kino;3 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Pirkanmaan elokuvakeskus ry;Tampere, Niagara;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Reijonen Toivo;Espoo, Kino Tuomarila;3 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Reijonen Toivo;Kirkkonummi, Kino;3 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Saarenharju Esko;Juva, Elokuvateatteri JuKu;2 200
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Saarijärven Pullistus ry;Saarijärvi, Kisakino;2 500
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Savon Kinot Oy;Savonlinna, Kino Killa;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Siltanen Pasi;Huittinen, Lautta Kino;3 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Suomussalmen Vasemmisto ry;Suomussalmi, Ämmänsaaren elokuvat;3 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Tervakosken Elokuvat;Janakkala, Tervakosken elokuvat;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Teuvan Nuorisoseura ry/ Kino-Kuva;Teuva, Kino Kuva;3 500
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Tmi Bio-Kuva;Salo, Bio Salo 1-2;5 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Utsjoen kunnankino;Utsjoki, Kunnankino;2 500
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Varpainen Reijo;Eura, Kauttuan Kuva;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Varpainen Reijo;Pomarkku, Hakalinna;4 000
Elokuvateatterin toimintatuki;;19.3.2008;Harri Ahokas;Vimpelin Veto ry;Vimpeli, Nuorisokuvat;3 500
Elokuvateatterin toimintatuki;;5.3.2008;Harri Ahokas;Kino Lusto;Punkaharju, Kino Lusto;1 930
Elokuvateatterin toimintatuki;;29.2.2008;Harri Ahokas;Helli Peltonen Ky;Jämsä, Kinotar;1 606
Elokuvateatterin toimintatuki;;8.2.2008;Harri Ahokas;tmi juha koistinen;Raahe, Bio Huvimylly;3 000
Elokuvateatterin toimintatuki;;5.2.2008;Harri Ahokas;Kino anneli Stick Ky;Vihti, Kino;5 000
Elokuvateatterin toimintatuki;;31.1.2008;Harri Ahokas;Halsuan nuorisoseura ry;Halsua, Elokuvat;1 350
Elokuvateatterin toimintatuki;;30.1.2008;Harri Ahokas;Sieranta Kaija;Toijala/ Akaa, Kino;5 000
Jälkituki;Lyhyt elokuva;18.3.2010;Niina Otva;Helsinki-filmi Oy;KIELLETTY HEDELMÄ;180 000
Jälkituki;Pitkä näytelmäelokuva;1.6.2011;Niina Otva;Helsinki-filmi Oy;Napapiirin sankarit;140 000
Jälkituki;Pitkä animaatioelokuva;5.2.2009;Niina Otva;Animaker Oy;NIKO - LENTÄJÄN POIKA;200 000
Jälkituki;Dokumenttielokuva;17.9.2014;Niina Otva;Yellow Film & TV Oy;Selänne;200 000
Jälkituki;Dokumenttielokuva;9.12.2013;Niina Otva;MRP Matila Röhr Productions Oy;Metsän tarina;130 062
Jälkituki;Dokumenttielokuva;18.3.2011;Niina Otva;Oktober Oy;Miesten vuoro;171 900
Jälkituki;Dokumenttielokuva;8.2.2011;Niina Otva;Bronson Club Oy;Reindeerspotting;33 317
Jälkituki;Pitkä lasten ja nuorten elokuva;4.2.2014;Niina Otva;MRP Matila Röhr Productions Oy;Rölli ja Kultainen Avain;100 000
Jälkituki;Pitkä lasten ja nuorten elokuva;24.4.2013;Niina Otva;Jackpot Films Oy;Herra Heinämäki ja leijonatuuliviiri;9 292
Jälkituki;Pitkä lasten ja nuorten elokuva;27.4.2011;Niina Otva;Kinotar Oy (vanha);Risto Räppääjä ja polkupyörävaras;200 000
Jälkituki;Pitkä näytelmäelokuva;4.6.2015;Niina Otva;Kinotar Oy;Ei kiitos;286
Jälkituki;Pitkä näytelmäelokuva;2.4.2015;Niina Otva;MRP Matila Röhr Productions Oy;Vadelmavene pakolainen;195 000
Jälkituki;Pitkä näytelmäelokuva;2.4.2015;Niina Otva;Nummela-Filmi Oy;Kummeli V;350 000
Jälkituki;Pitkä näytelmäelokuva;2.4.2015;Niina Otva;Solar Films Inc. Oy;Kesäkaverit;152 818
Jälkituki;Pitkä näytelmäelokuva;2.4.2015;Niina Otva;Solar Films Inc. Oy;Mielensäpahoittaja;219 468
Jälkituki;Pitkä näytelmäelokuva;17.9.2014;Niina Otva;FremantleMedia Finland Oy;EI MAATA NÄKYVISSÄ;41 611
Jälkituki;Pitkä näytelmäelokuva;17.9.2014;Niina Otva;Helsinki-filmi Oy;Leijonasydän;50 000
Jälkituki;Pitkä näytelmäelokuva;4.6.2014;Niina Otva;Yellow Film & TV Oy;Ainoat oikeat;9 881
Jälkituki;Pitkä näytelmäelokuva;2.4.2014;Niina Otva;Dictator Films Oy;Juoppohullun päiväkirja;132 692
Jälkituki;Pitkä näytelmäelokuva;2.4.2014;Niina Otva;Dionysos Films Oy;21 tapaa pilata avioliitto;5 408
Jälkituki;Pitkä näytelmäelokuva;4.2.2014;Niina Otva;Solar Films Inc. Oy;Tumman veden päällä;29 426
Jälkituki;Pitkä näytelmäelokuva;23.10.2013;Niina Otva;Marianna Films Oy;Tie pohjoiseen;37 980
Jälkituki;Pitkä näytelmäelokuva;24.4.2013;Niina Otva;Bronson Club Oy;Kulman Pojat;45 912
Jälkituki;Pitkä näytelmäelokuva;5.2.2013;Niina Otva;First Floor Productions Oy;Vuosaari;100 000
Jälkituki;Pitkä näytelmäelokuva;5.2.2013;Niina Otva;Solar Films Inc. Oy;Puhdistus;170 000
Jälkituki;Pitkä näytelmäelokuva;5.2.2013;Niina Otva;Solar Films Inc. Oy;Vares Kaidan tien kulkija;201 540
Jälkituki;Pitkä näytelmäelokuva;5.2.2013;Niina Otva;Solar Films Inc. Oy;Vares Pimeyden tango;105 964
Jälkituki;Pitkä näytelmäelokuva;5.2.2013;Niina Otva;Solar Films Inc. Oy;Vares Uhkapelimerkki;47 920
Jälkituki;Pitkä näytelmäelokuva;5.2.2013;Niina Otva;Yellow Film & TV Oy;Härmä;50 000
Jälkituki;Pitkä näytelmäelokuva;5.12.2012;Niina Otva;Helsinki-filmi Oy;Där vi en gång gått;15 320
Jälkituki;Pitkä näytelmäelokuva;5.12.2012;Niina Otva;Sputnik Oy;Le Havre;50 000
Jälkituki;Pitkä näytelmäelokuva;5.12.2012;Niina Otva;Kinosto Oy;Varasto;34 985
Jälkituki;Pitkä näytelmäelokuva;27.2.2012;Niina Otva;Solar Films Inc. Oy;Vares Sukkanauhakäärme;175 280
Jälkituki;Pitkä näytelmäelokuva;27.2.2012;Niina Otva;Solar Films Inc. Oy;Vares Pahan suudelma;400 000
Jälkituki;Pitkä näytelmäelokuva;27.2.2012;Niina Otva;Solar Films Inc. Oy;Vares Huhtikuun tytöt;134 808
Jälkituki;Pitkä näytelmäelokuva;1.6.2011;Niina Otva;Bronson Club Oy;Veijarit;210 000
Jälkituki;Pitkä näytelmäelokuva;1.6.2011;Niina Otva;Juonifilmi Oy;JOS RAKASTAT;97 607
Jälkituki;Pitkä näytelmäelokuva;1.6.2011;Niina Otva;MRP Matila Röhr Productions Oy;Harjunpää ja pahan pappi;26 564
Jälkituki;Pitkä näytelmäelokuva;1.6.2011;Niina Otva;Solar Films Inc. Oy;Sisko tahtoisin jäädä;150 000
Jälkituki;Pitkä näytelmäelokuva;27.4.2011;Niina Otva;Art Films production AFP Oy;Prinsessa;150 000
Jälkituki;Pitkä näytelmäelokuva;27.4.2011;Niina Otva;Cinet Oy;Rare Exports;80 000
Jälkituki;Pitkä näytelmäelokuva;16.2.2011;Niina Otva;Artista Filmi Oy;Täällä Pohjantähden alla 2;93 764
Jälkituki;Pitkä näytelmäelokuva;8.12.2010;Niina Otva;Kinotar Oy (vanha);POSTIA PAPPI JAAKOBILLE;47 701
Jälkituki;Pitkä näytelmäelokuva;27.10.2010;Niina Otva;Marianna Films Oy;HAARAUTUVAN RAKKAUDEN TALO;100 000
Jälkituki;Pitkä näytelmäelokuva;26.5.2010;Niina Otva;Suomen Filmiteollisuus SF Oy;RALLIRAITA;56 052
Jälkituki;Pitkä näytelmäelokuva;28.4.2010;Niina Otva;Juonifilmi Oy;SKAVABÖLEN POJAT;80 000
Jälkituki;Pitkä näytelmäelokuva;29.3.2010;Niina Otva;Solar Films Inc. Oy;RÖÖPERI;150 000
Jälkituki;Pitkä näytelmäelokuva;17.3.2010;Niina Otva;Artista Filmi Oy;TÄÄLLÄ POHJANTÄHDEN ALLA;180 000
Jälkituki;Pitkä näytelmäelokuva;10.2.2010;Niina Otva;MRP Matila Röhr Productions Oy;HAVUKKA-AHON AJATTELIJA;120 000
Jälkituki;Pitkä näytelmäelokuva;1.9.2009;Niina Otva;Border Productions Oy;RAJA 1918;150 000
Jälkituki;Pitkä näytelmäelokuva;1.9.2009;Niina Otva;Juonifilmi Oy;8 PÄIVÄÄ ENSI-ILTAAN;162 484
Jälkituki;Pitkä näytelmäelokuva;22.4.2009;Niina Otva;Filmiteollisuus Fine Oy;BLACKOUT;180 000
Jälkituki;Pitkä näytelmäelokuva;22.4.2009;Niina Otva;Åke Lindman Film-Production Oy;TALI-IHANTALA 1944;350 000
Jälkituki;Pitkä näytelmäelokuva;5.2.2009;Niina Otva;MRP Matila Röhr Productions Oy;PÄÄTALO;350 000
Jälkituki;Pitkä näytelmäelokuva;5.2.2009;Niina Otva;Solar Films Inc. Oy;KUMMELI ALIVUOKRALAINEN;390 000
Jälkituki;Pitkä näytelmäelokuva;5.2.2009;Niina Otva;Solar Films Inc. Oy;TUMMIEN PERHOSTEN KOTI;200 000
Jälkituki;Pitkä näytelmäelokuva;5.2.2009;Niina Otva;Stormheart Oy Ltd.;MYRSKY;200 000
Jälkituki;Pitkä näytelmäelokuva;13.3.2008;Petri Kemppinen;Kinoproduction Oy;COLORADO AVENUE;150 000
Jälkituki;Pitkä näytelmäelokuva;3.3.2008;Olli Soinio;Helsinki-filmi Oy;GANES;200 000
Jälkituki;Pitkä näytelmäelokuva;3.3.2008;Olli Soinio;MRP Matila Röhr Productions Oy;SOOLOILUA;200 000
Jälkituki;Pitkä näytelmäelokuva;3.3.2008;Olli Soinio;Suomen Filmiteollisuus SF Oy;LIEKSA;200 000
Jälkituki;Pitkä näytelmäelokuva;5.2.2008;Olli Soinio;Solar Films Inc. Oy;V2;200 000
Jälkituki;Pitkä näytelmäelokuva;5.2.2008;Petri Kemppinen;Blind Spot Pictures Oy;MIEHEN TYÖ;150 000
Jälkituki;Pitkä näytelmäelokuva;5.2.2008;Petri Kemppinen;Making Movies - Nordberg & Aho Oy;MUSTA JÄÄ;200 000
Jälkituki;Pitkä näytelmäelokuva;5.2.2008;Petri Kemppinen;MRP Matila Röhr Productions Oy;SUDEN VUOSI;40 000
Jälkituki;Pitkä animaatioelokuva;18.3.2008;Olli Soinio;MRP Matila Röhr Productions Oy;RÖLLIN SYDÄN;200 000
Jälkituki;Pitkä lasten ja nuorten elokuva;17.9.2015;Niina Otva;Artista Filmi Oy;Risto Räppääjä ja liukas Lennart;244 197
Jälkituki;Pitkä lasten ja nuorten elokuva;4.6.2015;Niina Otva;Yellow Film & TV Oy;Lomasankarit;20 216
Jälkituki;Pitkä lasten ja nuorten elokuva;5.2.2015;Niina Otva;Snapper Films Oy;Ella ja kaverit;173 153
Jälkituki;Pitkä lasten ja nuorten elokuva;5.2.2015;Niina Otva;Snapper Films Oy;Ella ja kaverit 2 - Paterock;120 000
Jälkituki;Pitkä lasten ja nuorten elokuva;5.2.2015;Niina Otva;Zodiak Finland Oy;Onneli ja Anneli;50 000
Jälkituki;Pitkä lasten ja nuorten elokuva;18.6.2013;Niina Otva;Elotar Oy;Risto Räppääjä ja viileä Venla;73 698
Jälkituki;Pitkä lasten ja nuorten elokuva;5.2.2009;Niina Otva;Kinotar Oy (vanha);RISTO RÄPPÄÄJÄ;300 000
Jälkituki;Pitkä lasten ja nuorten elokuva;24.4.2008;Niina Otva;Snapper Films Oy;JOULUTARINA;200 000
Jälkituki;Pitkä lasten ja nuorten elokuva;5.2.2008;Olli Soinio;SF Film Finland Oy;UNNA JA NUUK;187 971
Kansainvälinen toiminta;;31.12.2011;Kirsi Tykkyläinen;Giron Filmi Oy;ELÄMÄN ÄIDIT, 2 festivaalikopiota + Berliiniin matkat;13 111
Kansainvälinen toiminta;;15.9.2010;Marja Pallassalo;Dokumenttikilta Ry;DOC MEETING ARGENTINA 23. - 26.9.2010 MATKAKULUT;3 900
Kansainvälinen toiminta;;15.9.2010;Marja Pallassalo;Ronkainen Mika;"FREETIME MACHOS;Ronkainen Mika/Barcelonan festiv.";220
Kansainvälinen toiminta;;15.9.2010;Marja Pallassalo;Ruscica Jani;LOPUN ALKUJA - KV MATKA-AVUSTUS CURTAS VILA DA CONDE FILMIFE;560
Kansainvälinen toiminta;;15.9.2010;Marja Pallassalo;Lwoff Mark;SODANKYLÄ FOREVER -KV - ESITYSMATERIAALIN KÄÄNTÄMINEN JA DVD;1 000
Kansainvälinen toiminta;;15.9.2010;Marja Pallassalo;Illume Oy;"JÄÄVUOREN VARJOON;Veijalainen Pertti,KV kopioiden valmistus";1 200
Kansainvälinen toiminta;;15.9.2010;Marja Pallassalo;Kristallisilmä Oy;"ELOKUVIEN RESTAUROINTI;Ahtila Eija-Liisa";20 000
Kansainvälinen toiminta;;15.9.2010;Marja Pallassalo;Periferia Productions Oy;GORILLA, matka-avustus+kopion valmistus;3 600
Kansainvälinen toiminta;;15.9.2010;Marja Pallassalo;Tervo Miia;"LUMIKKO;Tervo MIIA/Lissabon festivaalimatka";1 100
Kansainvälinen toiminta;;30.8.2010;Marja Pallassalo;West Jouni;SAMMAKKO JOKA OLI AIKA RUMA, OSALLISTUMINEN IMAGINE NATIVE -;1 200
Kansainvälinen toiminta;;23.7.2010;Marja Pallassalo;van Ingen sami;"NAVIGATOR03;van Ingen Sami/Grimstad festivaalimatka";200
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Hokkanen Jouni;"KINBAKU;Hokkanen Jouni/Barcelonan Mecal Pro festival";670
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Koiso-Kanttila Visa;"MIEHEN KUVA;Koiso-Kanttila Visa/Hot Docs Toronto festivaalim";970
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Making Movies - Nordberg & Aho Oy;USEISIIN LYHYT ELOKUVIEN KV-HANKKEISIIN TEHTYJÄ DVD_eitä;600
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Elokuvaosuuskunta Elokas;"KOSMINEN KULKURI;Härkönen Mariko,Virtanen Ismo/KV-kopiot";1 700
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Jartti Tero;"HOW THE BEAR LOST HIS TAIL, BIRDYMATION,HIT THE ROAD;KV-mate";1 450
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Ottelin Liina Jasmiini;"BENIGNI;Ottelin Jasmiini/Annecy fest.matka";190
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Tanssiteatteri Hurjaruuthin kannatus ry;"STRAWBERRY GIRL;Pettersson Joona/KV-materiaali ja ohjaajan m";2 500
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Blind Spot Pictures Oy;"TOKYO BABY;Kainulainen Tommi/Cannes matkakulut";1 500
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Klaffi Tuotannot Oy;FREETIME MACHOS/Ronkainen Mika/KV-useille festvaaleille;2 000
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Oktober Oy;"MIESTEN VUORO;Hotakainen Mika,Berghäll Joonas/KV-kopiot";5 400
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Oktober Oy;"MIESTEN VUORO;Hotakainen MIka&Berghäll Joonas/Toronto Hot Do";3 400
Kansainvälinen toiminta;;4.6.2010;Jaana Puskala;Cantell Saara;"KOHTAAMISIA;Cantell Saara/Festroiia fest.Lissabon";334
Kansainvälinen toiminta;;4.6.2010;Jaana Puskala;Edith Film Oy;"VÄÄRÄT JUURET;Saarela SaaraKV-DVD:T";195
Kansainvälinen toiminta;;4.6.2010;Jaana Puskala;Helsinki-filmi Oy;"KIELLETTY HEDELMÄ;Karukoski Dome";1 460
Kansainvälinen toiminta;;4.6.2010;Jaana Puskala;Karukoski Dome;"KIELLETTY HEDELMÄ;Karukoski Dome/Pune fest.Intia,Finnish Wee";603
Kansainvälinen toiminta;;4.6.2010;Jaana Puskala;Making Movies - Nordberg & Aho Oy;"HOMESICK;Kotwica Petri/KV-DVD kopiot";207
Kansainvälinen toiminta;;4.6.2010;Jaana Puskala;Making Movies - Nordberg & Aho Oy;"TIRLITTAN;Juusonen Kari/Shanghain markkinointi";2 000
Kansainvälinen toiminta;;4.6.2010;Jaana Puskala;Oy Bufo Ab;"KUULUSTELU;Donner Jörn/Göteborgin ja Berliinin fest";1 180
Kansainvälinen toiminta;;4.6.2010;Jaana Puskala;Pystymetsä Oy;"KOHTAAMISIA;Cantell Saara/vientimateriaali ja kopion tekstiy";2 641
Kansainvälinen toiminta;;4.6.2010;Jaana Puskala;Solar Films Inc. Oy;"VARES3;Mäkelä Aleksi/KV-markkinointi";4 000
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;FixC osuuskunta;Crosstalk video art festiv.ja La Fabrica Barcelona;2 000
Kansainvälinen toiminta;;4.6.2010;Marja Pallassalo;Härmä Iiris;"ELÄÄ JA PALAA;Härmä Iiris/GIEFF 2010 festivaalimatka";580
Kansainvälinen toiminta;;3.6.2010;Marja Pallassalo;4KRS films;"RUUHKA;Franck Arthur&Forsten Oskar/KV-kulut";800
Kansainvälinen toiminta;;23.4.2010;Marja Pallassalo;Åke Susanna;"VEETI JA PAVUNVARSI;Kotilainen Susanna/matkakulut New Yorkii";700
Kansainvälinen toiminta;;23.4.2010;Marja Pallassalo;Edith Film Oy;"TREENILAJI;Joutsi Laura/KV-festivaali dvd";300
Kansainvälinen toiminta;;23.4.2010;Marja Pallassalo;Elokuvayhtiö Oy Aamu Ab;ÄLÄ KUISKAA YSTÄVÄN SUUHUN,Hauru Hanna-Leena/Kv kopio ja mat;7 700
Kansainvälinen toiminta;;23.4.2010;Marja Pallassalo;Cineparadiso Oy;"SUPERMÄÄN;Lehtinen PV/KV-kopio ja tekstitys";1 150
Kansainvälinen toiminta;;23.4.2010;Marja Pallassalo;Edith Film Oy;"VAKTMÄSTAREN;Forsström Jan/KV-kopio";200
Kansainvälinen toiminta;;23.4.2010;Marja Pallassalo;Klaffi Tuotannot Oy;Elokuvan P-Amerikan ensi-ilta- ja matkakuluihin Tribeca Film;17 900
Kansainvälinen toiminta;;23.4.2010;Marja Pallassalo;Lehto Kasimir;"RED NOSE CLUB/3-D;Lehto Kasimir;";3 500
Kansainvälinen toiminta;;23.4.2010;Marja Pallassalo;Olsson Iris;"BETWEEN DREAMS;Olsson Iris/Clermont Ferrand festiv.";990
Kansainvälinen toiminta;;23.4.2010;Marja Pallassalo;Pardo Alvaro;"OSCAR MENEE MEKSIKOON;Pardo Alvaro/Santiagon fest.";1 000
Kansainvälinen toiminta;;23.4.2010;Marja Pallassalo;Partanen Pinja;ohjaajan matkakuluihin Animafest-elokuvajuhlille;220
